agent_id,call_date,total_calls,unique_loans_contacted,connect_rate,avg_call_duration,presence
A001,2025-04-28,20,20,0.1,6.843000000000001,1
A002,2025-04-28,23,23,0.13043478260869565,7.827826086956521,1
A003,2025-04-28,21,21,0.38095238095238093,7.16952380952381,1
A004,2025-04-28,27,27,0.14814814814814814,8.056666666666667,1
A005,2025-04-28,29,28,0.13793103448275862,7.059310344827586,0
A006,2025-04-28,16,16,0.125,8.8375,1
A007,2025-04-28,24,23,0.20833333333333334,7.040416666666666,1
A008,2025-04-28,29,29,0.27586206896551724,6.603103448275863,1
A009,2025-04-28,26,25,0.2692307692307692,7.387307692307692,1
A010,2025-04-28,38,38,0.18421052631578946,8.078947368421053,1
A011,2025-04-28,22,22,0.22727272727272727,9.066818181818181,1
A012,2025-04-28,20,20,0.25,7.1034999999999995,0
A013,2025-04-28,22,22,0.09090909090909091,6.876363636363636,1
A014,2025-04-28,30,30,0.3333333333333333,7.701,1
A015,2025-04-28,28,27,0.14285714285714285,8.508214285714285,1
A016,2025-04-28,22,22,0.2727272727272727,8.701818181818181,1
A017,2025-04-28,20,19,0.1,6.672499999999999,1
A018,2025-04-28,35,34,0.17142857142857143,7.489142857142857,0
A019,2025-04-28,27,27,0.2222222222222222,6.917777777777778,1
A020,2025-04-28,21,21,0.3333333333333333,6.562857142857142,1
